Company_Name,Class,Designation,Location,Total_applicants
IDESLABS PRIVATE LIMITED,Class 4,SAP BASIS, Odisha,0
IDESLABS PRIVATE LIMITED,Class 4,Sr. Test Engineer, Maharashtra,49
IDESLABS PRIVATE LIMITED,Class 4,Project Manager, Maharashtra,51
IDESLABS PRIVATE LIMITED,Class 4,SAP MM CONSULTANT, Maharashtra,92
IDESLABS PRIVATE LIMITED,Class 4,SQL Server DBA, Karnataka,35
IDESLABS PRIVATE LIMITED,Class 4,Windows Admin, Telangana,3
IDESLABS PRIVATE LIMITED,Class 4,Associate Business Consultant, Karnataka,75
IDESLABS PRIVATE LIMITED,Class 4,Project Manager, Karnataka,47
IDESLABS PRIVATE LIMITED,Class 4,Team Lead, Karnataka,33
IDESLABS PRIVATE LIMITED,Class 4,Project Manager, Tamil Nadu,29
IDESLABS PRIVATE LIMITED,Class 4,Network Automation, Madhya Pradesh,0
IDESLABS PRIVATE LIMITED,Class 4,Change Manager, Karnataka,51
IDESLABS PRIVATE LIMITED,Class 4,SQL Server DBA, Telangana,1
IDESLABS PRIVATE LIMITED,Class 4,Project Manager, Tamil Nadu,27
IDESLABS PRIVATE LIMITED,Class 4,SAP PROJECT MANAGER with ABAP, Telangana,2
IDESLABS PRIVATE LIMITED,Class 4,Dot Net developer, Karnataka,12
IDESLABS PRIVATE LIMITED,Class 4,Team Lead, Uttar Pradesh,1
IDESLABS PRIVATE LIMITED,Class 4,Software Engineer, Maharashtra,4
IDESLABS PRIVATE LIMITED,Class 4,SAP ABAP, Karnataka,3
IDESLABS PRIVATE LIMITED,Class 4,SAP QE/PO, Telangana,0
IDESLABS PRIVATE LIMITED,Class 4,Test Lead, Maharashtra,0
IDESLABS PRIVATE LIMITED,Class 4,Associate Tech Specialist, Karnataka,19
IDESLABS PRIVATE LIMITED,Class 4,Team Lead, Karnataka,32
IDESLABS PRIVATE LIMITED,Class 4,SAP MM/WM, Maharashtra,6
IDESLABS PRIVATE LIMITED,Class 4,Business Analyst, Madhya Pradesh,39
IDESLABS PRIVATE LIMITED,Class 4,Frontend Developer, Karnataka,19
IDESLABS PRIVATE LIMITED,Class 4,Project Manager, Maharashtra,53
IDESLABS PRIVATE LIMITED,Class 4,Scrum Master, Karnataka,5
IDESLABS PRIVATE LIMITED,Class 4,SQL Server DBA, Telangana,2
IDESLABS PRIVATE LIMITED,Class 4,Team Lead, Karnataka,20
IDESLABS PRIVATE LIMITED,Class 4,Associate Business Consultant, Telangana,46
IDESLABS PRIVATE LIMITED,Class 4,SAP Abap-Sr. Software Engineer-Vizag, Andhra Pradesh,3
IDESLABS PRIVATE LIMITED,Class 4,Associate Business Consultant, Uttar Pradesh,7
IDESLABS PRIVATE LIMITED,Class 4,Team Lead, Karnataka,26
IDESLABS PRIVATE LIMITED,Class 4,Java Developers, Maharashtra,0
IDESLABS PRIVATE LIMITED,Class 4,Security Analyst, Maharashtra,1
IDESLABS PRIVATE LIMITED,Class 4,Engineer, Karnataka,39
IDESLABS PRIVATE LIMITED,Class 4,QA Engineer, Karnataka,0
IDESLABS PRIVATE LIMITED,Class 4,IT Recruiter, Telangana,8
IDESLABS PRIVATE LIMITED,Class 4,Software Engineer, Karnataka,64
